연도,월_번호,월_영문,승객수_천명
1949,1,January,112
1949,2,February,118
1949,3,March,132
1949,4,April,129
1949,5,May,121
1949,6,June,135
1949,7,July,148
1949,8,August,148
1949,9,September,136
1949,10,October,119
1949,11,November,104
1949,12,December,118
1950,1,January,115
1950,2,February,126
1950,3,March,141
1950,4,April,135
1950,5,May,125
1950,6,June,149
1950,7,July,170
1950,8,August,170
1950,9,September,158
1950,10,October,133
1950,11,November,114
1950,12,December,140
1951,1,January,145
1951,2,February,150
1951,3,March,178
1951,4,April,163
1951,5,May,172
1951,6,June,178
1951,7,July,199
1951,8,August,199
1951,9,September,184
1951,10,October,162
1951,11,November,146
1951,12,December,166
1952,1,January,171
1952,2,February,180
1952,3,March,193
1952,4,April,181
1952,5,May,183
1952,6,June,218
1952,7,July,230
1952,8,August,242
1952,9,September,209
1952,10,October,191
1952,11,November,172
1952,12,December,194
1953,1,January,196
1953,2,February,196
1953,3,March,236
1953,4,April,235
1953,5,May,229
1953,6,June,243
1953,7,July,264
1953,8,August,272
1953,9,September,237
1953,10,October,211
1953,11,November,180
1953,12,December,201
1954,1,January,204
1954,2,February,188
1954,3,March,235
1954,4,April,227
1954,5,May,234
1954,6,June,264
1954,7,July,302
1954,8,August,293
1954,9,September,259
1954,10,October,229
1954,11,November,203
1954,12,December,229
1955,1,January,242
1955,2,February,233
1955,3,March,267
1955,4,April,269
1955,5,May,270
1955,6,June,315
1955,7,July,364
1955,8,August,347
1955,9,September,312
1955,10,October,274
1955,11,November,237
1955,12,December,278
1956,1,January,284
1956,2,February,277
1956,3,March,317
1956,4,April,313
1956,5,May,318
1956,6,June,374
1956,7,July,413
1956,8,August,405
1956,9,September,355
1956,10,October,306
1956,11,November,271
1956,12,December,306
1957,1,January,315
1957,2,February,301
1957,3,March,356
1957,4,April,348
1957,5,May,355
1957,6,June,422
1957,7,July,465
1957,8,August,467
1957,9,September,404
1957,10,October,347
1957,11,November,305
1957,12,December,336
1958,1,January,340
1958,2,February,318
1958,3,March,362
1958,4,April,348
1958,5,May,363
1958,6,June,435
1958,7,July,491
1958,8,August,505
1958,9,September,404
1958,10,October,359
1958,11,November,310
1958,12,December,337
1959,1,January,360
1959,2,February,342
1959,3,March,406
1959,4,April,396
1959,5,May,420
1959,6,June,472
1959,7,July,548
1959,8,August,559
1959,9,September,463
1959,10,October,407
1959,11,November,362
1959,12,December,405
1960,1,January,417
1960,2,February,391
1960,3,March,419
1960,4,April,461
1960,5,May,472
1960,6,June,535
1960,7,July,622
1960,8,August,606
1960,9,September,508
1960,10,October,461
1960,11,November,390
1960,12,December,432
